scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq3_local_information,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,21,195.85185387218453,0.48962963468046133,1566.8148309774763,3.9170370774436907,19.03205440976304,362.21909505618083,0.05473442155691677,0.5,1.4056390622295662,3,0.560625,1.2921674323181862,2.8525,5.300000000000001,553.1851690225242,0.0,1.0
sq3_local_information,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,42,198.73064074380852,0.4968266018595212,1589.8451259504682,3.9746128148761697,19.598706995594675,384.1093158991717,0.054140086125325615,0.75,0.8112781244591328,2,0.5559375,1.301457242277969,2.86,5.300000000000001,530.1548740495323,0.0,1.0
sq3_local_information,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,84,203.54743932495174,0.5088685983123792,1628.379514599614,4.0709487864990335,19.287411052312546,372.0042251008681,0.05315007502866442,0.5,1.4056390622295662,3,0.559375,1.2833556498992342,2.825,5.300000000000001,491.62048540038654,0.0,1.0
sq3_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,1,201.06146739441556,0.5026536684860388,1608.4917391553245,4.02122934788831,17.890909927820836,320.0846580453981,0.049401944655100394,0.5,1.0,2,0.5665625,1.270729223898916,2.8175,5.300000000000001,511.508260844676,0.0,1.2459381323039682
sq3_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,7,197.3729407413553,0.49343235185338813,1578.9835259308425,3.947458814827105,14.757257816386915,217.7766582593127,0.04164257695292939,0.375,1.9056390622295662,4,0.5646875,1.2687261678622113,2.8125,5.300000000000001,541.016474069158,0.0,1.2351987968960934
sq3_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,21,197.2876470024628,0.49321911750615777,1578.3011760197023,3.945752940049262,22.861414081638973,522.6442538121607,0.06336994882876823,0.5,1.4056390622295662,3,0.5678125,1.2489562437443424,2.7575,5.300000000000001,541.6988239802981,0.0,1.2419934571864504
sq3_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,42,188.31336958837656,0.47078342397094164,1506.5069567070125,3.766267391767533,11.332964953133752,128.4360946289579,0.032656944346821204,0.5,1.0,2,0.5828125,1.2199472093543573,2.705,5.300000000000001,613.493043292988,0.0,1.2525249369001015
sq3_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,84,196.53099192582334,0.4913274798145584,1572.2479354065867,3.930619838516467,14.403312064550224,207.45539842881806,0.035720863851936624,0.625,1.2987949406953985,3,0.5653125,1.2682749814507661,2.81,5.300000000000001,547.7520645934137,0.0,1.2361408858044975
sq3_local_random_reputation,local,random_graph,0.0,True,0.0,0.0,0.0,1.0,1,207.1023395870899,0.5177558489677243,1656.818716696719,4.1420467917417945,21.920144368162866,480.49272912110223,0.05968260122519342,0.625,0.9544340029249649,2,0.54125,1.335526950771965,2.9025,5.300000000000001,463.18128330328136,0.0,1.3316466289008353
sq3_local_random_reputation,local,random_graph,0.0,True,0.0,0.0,0.0,1.0,7,205.05719494859153,0.5126429873714787,1640.4575595887322,4.10114389897183,37.10036508099657,1376.4370891432295,0.10022128549840303,0.75,1.061278124459133,3,0.54125,1.3099873263351218,2.85,5.300000000000001,479.5424404112682,0.0,1.4159391809449646
sq3_local_random_reputation,local,random_graph,0.0,True,0.0,0.0,0.0,1.0,21,182.46967825772683,0.45617419564431705,1459.7574260618146,3.6493935651545364,64.89216223749116,4210.992719856875,0.16547014244477176,0.5,1.5,3,0.62125,1.1527676051590128,2.66,5.300000000000001,660.2425739381858,0.0,1.3399489709755976
sq3_local_random_reputation,local,random_graph,0.0,True,0.0,0.0,0.0,1.0,42,195.7459645188918,0.4893649112972296,1565.9677161511345,3.9149192903778367,32.27450375725234,1041.6435927768953,0.08736820847821503,0.625,1.2987949406953985,3,0.536875,1.3108469303238879,2.82,5.300000000000001,554.032283848866,0.0,1.443373994173443
sq3_local_random_reputation,local,random_graph,0.0,True,0.0,0.0,0.0,1.0,84,210.3740474102534,0.5259351185256333,1682.9923792820273,4.207480948205067,40.26028947964262,1620.8909089846227,0.10155173929795147,0.5,1.4056390622295662,3,0.521875,1.3916953863696404,3.0125,5.300000000000001,437.00762071797317,0.0,1.2888352530195113
