scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,reputation_learning_rate,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq2_lr_global_clean_lr_0.25,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,21,3393.696042346682,0.8484240105866712,27149.568338773457,6.787392084693369,298.24324041281415,88949.03045193567,0.04869461814355169,0.25,2.25,5,0.30571875,2.0178302455691925,4.261,12.4,22450.431661226543,0.0,1.7247866101018177
sq2_lr_global_clean_lr_0.25,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,42,3391.804678812692,0.8479511697031721,27134.437430501537,6.783609357625377,328.8600497188977,108148.93230111586,0.054458633389661504,0.25,2.25,5,0.30721875,2.007433816660374,4.224,12.4,22465.562569498463,0.0,1.6939633347524437
sq2_lr_global_clean_lr_0.25,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,84,3411.4787451531574,0.8528696862882887,27291.82996122526,6.82295749030631,304.79484813611015,92899.89945031446,0.050552656119429606,0.25,2.25,5,0.30859375,2.0081152072826693,4.23125,12.4,22308.17003877474,0.0,1.665922547036699
sq2_lr_global_clean_lr_0.5,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.5,1,3360.3607520789037,0.8400901880197249,26882.88601663123,6.720721504157799,311.6933997362066,97152.77543911464,0.05180749314908617,0.375,1.9056390622295662,4,0.3034375,2.02387188151129,4.27775,12.4,22717.11398336877,0.0,1.7023094130313976
sq2_lr_global_clean_lr_0.5,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.5,7,3384.956053975553,0.8462390134938891,27079.648431804424,6.769912107951113,293.1736801701057,85950.80674448343,0.048300917720913716,0.25,2.25,5,0.30615625,2.0097888920525535,4.23025,12.4,22520.351568195576,0.0,1.7359507522548754
sq2_lr_global_clean_lr_0.5,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.5,21,3385.081014770021,0.8462702536925039,27080.648118160167,6.770162029540031,292.8790799553154,85778.15547547201,0.04813572762327012,0.375,1.9056390622295662,4,0.304,2.0208271447934867,4.265,12.4,22519.351881839833,0.0,1.768002710375899
sq2_lr_global_clean_lr_0.5,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.5,42,3381.035877840681,0.8452589694601707,27048.28702272545,6.762071755681365,308.86864058322976,95399.83713573236,0.050132827906591126,0.375,1.9056390622295662,4,0.304375,2.0198553401046344,4.26375,12.4,22551.71297727455,0.0,1.7296620479012914
sq2_lr_global_clean_lr_0.5,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.5,84,3390.5168509478244,0.8476292127369554,27124.134807582595,6.781033701895643,292.9025433842708,85791.89992097465,0.04636740008828477,0.25,2.25,5,0.30596875,2.0181816553347502,4.263,12.4,22475.865192417405,0.0,1.754234110409895
sq2_lr_global_clean_lr_0.75,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.75,1,3390.569366339985,0.8476423415849957,27124.55493071988,6.781138732679966,301.65446810731515,90995.41812910723,0.04964928021228188,0.25,2.25,5,0.305875,2.01432657994257,4.2485,12.4,22475.44506928012,0.0,1.751159895042192
sq2_lr_global_clean_lr_0.75,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.75,7,3352.552085343147,0.8381380213357874,26820.416682745177,6.705104170686299,301.50644277315314,90906.13503372067,0.049390981805283785,0.25,2.0,4,0.30521875,2.018343403774684,4.26,12.4,22779.583317254823,0.0,1.7491764127123106
sq2_lr_global_clean_lr_0.75,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.75,21,3380.535122199609,0.8451337805499016,27044.28097759687,6.761070244399213,317.5830040528955,100858.96446326145,0.05237249428386059,0.25,2.25,5,0.30575,2.012635696741406,4.24075,12.4,22555.71902240313,0.0,1.7659840024860833
sq2_lr_global_clean_lr_0.75,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.75,42,3393.962191523961,0.8484905478809902,27151.697532191687,6.787924383047922,313.6296772982614,98363.57448221158,0.051623459701651386,0.375,1.9056390622295662,4,0.3060625,2.012961072521439,4.24225,12.4,22448.302467808313,0.0,1.757974936327037
sq2_lr_global_clean_lr_0.75,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.75,84,3380.073139932716,0.8450182849831791,27040.585119461728,6.760146279865433,303.40510683555726,92054.65885389593,0.05011485273669947,0.25,2.0,4,0.3065625,2.010041053378177,4.235,12.4,22559.414880538272,0.0,1.7694159102936569
