scenario,communication_structure,network_topology,use_reputation,reputation_learning_rate,malicious_agent_ratio,lying_probability,lie_magnitude,n_runs,average_cumulative_return_mean,average_cumulative_return_std,average_reward_over_time_mean,average_reward_over_time_std,average_group_reward_per_timestep_mean,average_group_reward_per_timestep_std,final_group_performance_mean,final_group_performance_std,cumulative_return_std_mean,cumulative_return_std_std,gini_coefficient_mean,gini_coefficient_std,expected_regret_mean,expected_regret_std,mean_most_popular_arm_share_mean,mean_most_popular_arm_share_std,mean_choice_entropy_mean,mean_choice_entropy_std,mean_distinct_arms_chosen_mean,mean_distinct_arms_chosen_std,final_most_popular_arm_share_mean,final_most_popular_arm_share_std,final_choice_entropy_mean,final_choice_entropy_std,final_distinct_arms_chosen_mean,final_distinct_arms_chosen_std,mean_lie_rate_mean,mean_lie_rate_std,final_mean_reputation_mean,final_mean_reputation_std
sq2_lr_global_malicious_lr_0.75,global,fully_connected,True,0.75,0.25,0.7,1.0,5,3182.1676068526513,33.70131270426207,0.7955419017131629,0.0084253281760655,6.364335213705303,0.067402625408524,25457.34085482121,269.6105016340966,304.30683612989856,67.16333755576979,0.052915289603835625,0.011704377800459291,24142.65914517879,269.6105016340966,0.3354625,0.00959549861914429,1.9224033364256166,0.013474353605861187,4.005,0.02046521438929955,0.325,0.06123724356957945,1.8056390622295662,0.20247315085121603,3.6,0.4898979485566356,0.17403125,0.0018585738820396619,1.6621356533990517,0.054202066151936276
sq2_lr_global_malicious_no_reputation,global,fully_connected,False,0.0,0.25,0.7,1.0,5,3118.9710120834693,34.69972641295998,0.7797427530208677,0.00867493160323987,6.237942024166942,0.06939945282591896,24951.768096667754,277.59781130367986,304.1924918636729,60.5601294568085,0.054596654665964105,0.010725929717764213,24648.231903332246,277.59781130367986,0.34308125,0.007465980134918655,1.9000936904644807,0.007631566610580776,3.95235,0.004892851929090014,0.325,0.06123724356957945,1.924511249783653,0.22103940833516436,4,0.6324555320336759,0.1744375,0.0021292237435272072,1.0,0.0
sq2_lr_local_clean_lr_0.05,local,ring_lattice,True,0.05,0.0,0.0,0.0,5,2819.1726242881427,60.63902741044182,0.7047931560720359,0.015159756852610352,5.638345248576287,0.12127805482088282,22553.380994305142,485.11221928353456,139.37406747004712,22.27619082589583,0.025941517187506636,0.004255500467048891,27046.619005694858,485.11221928353456,0.40931875,0.003482287771709856,1.779180069781888,0.01937696621868713,3.83735,0.05663735516423773,0.3,0.06123724356957945,2.0622556248918267,0.12348982963406778,4.4,0.4898979485566356,0.0,0.0,1.1867632577676004,0.0028356535522019743
sq2_lr_local_clean_lr_0.1,local,ring_lattice,True,0.1,0.0,0.0,0.0,5,2940.0474537827704,107.62278733437718,0.7350118634456921,0.026905696833594162,5.880094907565537,0.2152455746687533,23520.379630262163,860.9822986750174,209.08992908521472,50.73453072129774,0.03558886560804497,0.008490495325204395,26079.620369737837,860.9822986750174,0.40424375,0.0055032447814902805,1.7948116338130924,0.018263217086536207,3.8699,0.04037870726013901,0.375,0.07905694150420949,1.7678946871213927,0.19531942142959396,3.8,0.4,0.0,0.0,1.1937484631677706,0.00804228856037533
sq2_lr_local_clean_lr_0.25,local,ring_lattice,True,0.25,0.0,0.0,0.0,5,2904.8920801741547,62.06432479624905,0.7262230200435388,0.015516081199062288,5.80978416034831,0.12412864959249831,23239.136641393237,496.5145983699924,186.1534542293886,42.346391059065624,0.03371011286679919,0.006678747925926786,26360.863358606763,496.5145983699924,0.4041875,0.00492938415271117,1.799821833003354,0.016377960336423386,3.88555,0.038474796945533,0.35,0.05,1.9367668746754796,0.22651610321459448,4.2,0.7483314773547883,0.0,0.0,1.188897169095052,0.005201704502895793
sq2_lr_local_clean_lr_0.5,local,ring_lattice,True,0.5,0.0,0.0,0.0,5,2943.2890091545723,60.01539441181039,0.7358222522886432,0.015003848602952301,5.886578018309145,0.12003078882361841,23546.31207323658,480.1231552944831,187.76698863275695,51.27868097433784,0.034375058371466816,0.00864743260059442,26053.68792676342,480.1231552944831,0.402225,0.003474145578412043,1.804264100587449,0.015233718041098557,3.8948,0.041099695862621695,0.375,0.0,1.899022499567306,0.22854913437099067,4.2,0.7483314773547883,0.0,0.0,1.2096130030377616,0.0055422274684680745
sq2_lr_local_clean_lr_0.75,local,ring_lattice,True,0.75,0.0,0.0,0.0,5,2875.7397291072293,53.766523853803,0.7189349322768075,0.01344163096345102,5.75147945821446,0.10753304770760816,23005.917832857835,430.132190830424,128.1980929090542,53.80305573370957,0.023541562295424832,0.008852896790831488,26594.082167142165,430.132190830424,0.4069625,0.003775300070855296,1.7919381611501115,0.013166104037391942,3.87285,0.03161510714832396,0.375,0.07905694150420949,1.924511249783653,0.1731653327980886,4.2,0.4,0.0,0.0,1.2052434610506866,0.008165764017297506
sq2_lr_local_clean_no_reputation,local,ring_lattice,False,0.0,0.0,0.0,0.0,5,2857.222315449025,62.038599744589476,0.7143055788622563,0.015509649936147367,5.7144446308980505,0.12407719948917893,22857.7785235922,496.3087979567158,124.9011704595901,34.80162776129399,0.022848819441358838,0.005384777262308353,26742.2214764078,496.3087979567158,0.4106875,0.005700911385471621,1.7703216080249033,0.02756379677969421,3.81105,0.07484039684555403,0.375,0.0,1.8178946871213928,0.13341144270521096,3.8,0.4,0.0,0.0,1.0,0.0
sq2_lr_local_malicious_lr_0.05,local,ring_lattice,True,0.05,0.25,0.7,1.0,5,2633.9591478774955,48.88504459311199,0.6584897869693743,0.01222126114827876,5.267918295754995,0.09777008918623008,21071.673183019964,391.08035674489594,281.8759561520775,78.70641687691041,0.058432774236269136,0.014195778943225938,28528.326816980036,391.08035674489594,0.4364375,0.01204754578223299,1.6709537488058441,0.04721724030467942,3.56445,0.11650572947284622,0.4,0.09354143466934854,1.8433834373377398,0.2554402826945098,4,0.6324555320336759,0.1731625,0.0008640836909698061,1.1629963632180844,0.004545435767168261
sq2_lr_local_malicious_lr_0.1,local,ring_lattice,True,0.1,0.25,0.7,1.0,5,2594.135320960526,66.70229118619262,0.6485338302401317,0.01667557279654804,5.188270641921053,0.1334045823723843,20753.082567684207,533.618329489541,248.6013160512309,69.4619933749083,0.052108549882581644,0.015052069045331972,28846.917432315793,533.618329489541,0.437975,0.012606629580304164,1.6682761731768052,0.041530532304773146,3.5617,0.09786232676571711,0.475,0.05,1.4622556248918266,0.28855635363715876,3,0.6324555320336759,0.17395,0.002066908168013274,1.1664507631583019,0.007917911110540153
sq2_lr_local_malicious_lr_0.25,local,ring_lattice,True,0.25,0.25,0.7,1.0,5,2635.1760752620817,92.39796498247793,0.6587940188155202,0.0230994912456192,5.270352150524162,0.1847959299649536,21081.408602096653,739.1837198598234,295.39753600567747,86.06104566441702,0.06041741161346721,0.017759608942383657,28518.591397903347,739.1837198598234,0.4363375,0.01278066777402496,1.6681451694866016,0.039542703948549966,3.55245,0.08745618903199483,0.475,0.05,1.5433834373377397,0.11467203838596107,3.2,0.4,0.17535625,0.0013543333230781889,1.1623257282643942,0.016756065243295398
sq2_lr_local_malicious_lr_0.5,local,ring_lattice,True,0.5,0.25,0.7,1.0,5,2669.1624401774925,103.95137248191622,0.6672906100443728,0.025987843120479324,5.338324880354983,0.2079027449638346,21353.29952141994,831.6109798553298,299.4713097701742,79.01938040190119,0.05941737961104745,0.012205396750038011,28246.70047858006,831.6109798553298,0.43330625,0.013412715515509903,1.6848477618015791,0.049498140732455724,3.5983,0.11831413694060411,0.375,0.07905694150420949,1.824511249783653,0.2126007416805592,3.8,0.4,0.17378125,0.0012718404479336223,1.1805446698689908,0.01864138180735288
sq2_lr_local_malicious_lr_0.75,local,ring_lattice,True,0.75,0.25,0.7,1.0,5,2608.3066825535902,136.24174547999147,0.6520766706383976,0.03406043636999793,5.216613365107181,0.2724834909599834,20866.453460428722,1089.9339638399317,267.06240295743953,74.00911094001881,0.05585257366365237,0.014727003404733019,28733.546539571278,1089.9339638399317,0.440075,0.017004647802145164,1.6554648253738113,0.06088153586022375,3.5271,0.1394012733083884,0.6,0.1224744871391589,1.3056390622295664,0.33146276468059865,3,0.6324555320336759,0.174625,0.002072607807811211,1.1903640921765286,0.03243566234739428
sq2_lr_local_malicious_no_reputation,local,ring_lattice,False,0.0,0.25,0.7,1.0,5,2608.4843580741194,158.6898508752564,0.6521210895185302,0.03967246271881421,5.216968716148242,0.31737970175051367,20867.874864592955,1269.5188070020513,274.62200422856347,74.51262653146036,0.05753917520883247,0.012411420166971675,28732.125135407045,1269.5188070020513,0.44011875,0.018148512766202083,1.661130578533903,0.06338252171943133,3.5452500000000002,0.14614641630912478,0.45,0.1,1.7811278124459133,0.38437995575310446,4,1.0954451150103321,0.17378749999999998,0.0007398796354813446,1.0,0.0
